Time_seconds,EI_raw,EI_median,Blink,Delta_filt_avg_smoothed,Theta_filt_avg_smoothed,Alpha_filt_avg_smoothed,Beta_filt_avg_smoothed,Gamma_filt_avg_smoothed,Heart_Rate
0.0,4.979714317091318,4.639173560172512,0,8.838810503365192,3.901119297029095,6.047565448099905,46.153675228094066,10.083311129619897,64.895433878476
0.6,4.9115572021721645,4.605425293871228,0,8.709199731068358,3.9155661857899613,6.049064083584266,45.890822152852394,10.334534845331287,64.895433878476
1.6,4.843314134645356,4.571677027569945,0,8.579588958771524,3.9300130745508275,6.050562719068626,45.62796907761073,10.585758561042676,63.90497097054645
2.6,4.775096802805261,4.538150571304442,0,8.451723284507299,3.9447707780500982,6.052204416453618,45.36722887645685,10.833995582294534,59.04024214107509
3.6,4.70701448718698,4.50462411503894,0,8.323857610243076,3.9595284815493685,6.053846113838611,45.10648867530298,11.082232603546395,71.03710032396143
4.6,4.639173560172512,4.4713670081629395,0,8.197931682561906,3.9745760485144466,6.055626485409849,44.848157046831005,11.327131460191712,70.29967383864604
5.6,4.571677027569945,4.438109901286939,0,8.072005754880736,3.989623615479525,6.057406856981088,44.58982541835904,11.572030316837028,64.97666522998315
6.6,4.50462411503894,4.405167450218538,0,7.948207078244078,4.004939820771763,6.059321249498394,44.33418765913045,11.813251420359709,60.5242544658494
7.6,4.438109901286939,4.372224999150136,0,7.824408401607419,4.020256026064001,6.061235642015699,44.078549899901866,12.054472523882392,64.14628277315862
8.6,4.372224999150136,4.339640142066184,0,7.702916685751285,4.03581946930599,6.063279170235015,43.82588013418938,12.291689192735301,73.55804167429655
9.6,4.307055284982233,4.307055284982233,0,7.581424969895151,4.051382912547979,6.065322698454331,43.5732103684769,12.528905861588212,66.71794689303387
10.6,4.242681676141808,4.242681676141808,0,7.343398085960359,4.082961312311875,6.06965785875925,43.074331321949494,12.99470465822727,76.827963386777
10.71,4.179179955782663,4.179179955782663,1,7.110652481992602,4.114948280192424,6.07423062494432,42.58241224623102,13.451272629018536,70.2069713356074
11.6,4.116620643652463,4.116620643652463,0,6.883494002949629,4.147301058180483,6.079030234458114,42.097926508105225,13.89804438447896,63.58597928443781
12.6,4.055068911201352,4.055068911201352,0,6.662208724504613,4.179977235335345,6.084045724855902,41.621320409728405,14.334486749468761,64.13261263262909
13.6,3.9945845389524033,3.9945845389524033,0,6.4470621847856915,4.212934897788459,6.089265996639024,41.15301241006164,14.760099893343885,73.15231040429826
14.6,3.935221913782832,3.935221913782832,0,6.238298731556571,4.246132768638844,6.094679873524267,40.693392515762824,15.174418273195407,66.3607627619601
15.6,3.8770300635439807,3.8770300635439807,0,6.036140985467638,4.279530337411522,6.100276159325671,40.24282184161922,15.577011393433363,68.82365975187462
16.6,3.820052726286841,3.820052726286841,0,5.840789419005672,4.313087978606239,6.10604369064039,39.801632338647146,15.967484386588993,68.17548014699001
17.6,3.7643284511604898,3.7643284511604898,0,5.652422049837689,4.34676705877269,6.111971384653906,39.37012668583671,16.345478422227693,69.33172896405082
18.6,3.7098907277600377,3.7098907277600377,0,5.471194246427201,4.380530031555707,6.118048281569662,38.94857833852642,16.71067095287775,72.84843370317138
19.6,3.6567681404043135,3.6567681404043135,0,5.297238643126356,4.414340520222709,6.124263581333256,38.537231722904075,17.06277580740496,67.87663164554846
20.521,3.6049845436919425,3.6049845436919425,1,5.130665161407522,4.44816338725446,6.130606674382005,38.136302563470515,17.40154314309612,72.4021134093462
